Name,NRIC,medications,item_code,quantity,Date
"Low, Kevin",S78489806L,Doxycycline_100mg,ITMN_7836AV,40,2020-08-13
"Trojahn, Thomas",S88128104P,Atenolol_50mg,ITMN_9249ZD,40,2020-08-13
"Yeh, Christine",S31829619E,Doxycycline_100mg,ITMN_7836AV,200,2020-08-13
"Ngu, Sara",S11719742Y,Metformin_500mg,ITMN_7167LS,200,2020-08-13
"Han, Rafiullah",S21200504D,Atenolol_50mg,ITMN_9249ZD,100,2020-08-13
"Camagong, Gia",S15183415M,Doxycycline_100mg,ITMN_7836AV,200,2020-08-13
"San, Marcus",S17011550D,Metformin_500mg,ITMN_7167LS,200,2020-08-13
"Parran, Emma",S74474192Q,Atenolol_50mg,ITMN_9249ZD,40,2020-08-13
"Lebold, Dominick",S05333977X,Metformin_850mg,ITMN_4591ZY,100,2020-08-13
"Boyd, Diksha",S66919908T,Amlodipine_5mg,ITMN_9928QN,200,2020-08-13
"Causey, Thu",S53031240U,Metformin_500mg,ITMN_7167LS,50,2020-08-13
"Ignacio, Erin",S71199074A,Amlodipine_5mg,ITMN_9928QN,200,2020-08-14
"Kovacs, Leah",S31293270E,Atenolol_50mg,ITMN_9249ZD,50,2020-08-14
"Phan, Ana",S07236802S,Atenolol_50mg,ITMN_9249ZD,30,2020-08-14
"Macasinag, Qimin",S76407306D,Metformin_850mg,ITMN_4591ZY,30,2020-08-14
"Zhen, Donny",S16132801Y,Doxycycline_100mg,ITMN_7836AV,100,2020-08-14
"Dai, Patrick",S78211431N,Atenolol_50mg,ITMN_9249ZD,100,2020-08-14
"Huynh, Kristina",S34512818O,Atenolol_50mg,ITMN_9249ZD,30,2020-08-14
"Freeland, Lucas",S72107436D,Doxycycline_100mg,ITMN_7836AV,40,2020-08-14
"Chambers, Leilani",S06737884C,Metformin_500mg,ITMN_7167LS,100,2020-08-14
"Slevin Dotson, Blia",S34665633B,Atenolol_50mg,ITMN_9249ZD,40,2020-08-15
"Spencer, Johnny",S76407306D,Atenolol_50mg,ITMN_9249ZD,40,2020-08-15
"Shankar, Anthony",S80289050G,Metformin_500mg,ITMN_7167LS,200,2020-08-15
"Hermawan, Ameilia",S15045521S,Metformin_500mg,ITMN_7167LS,50,2020-08-15
"Lim, Purushka",S25928315E,Amlodipine_5mg,ITMN_9928QN,200,2020-08-15
"Chen, Hyemin",S29199230W,Paracetamol_500mg,ITMN_0539LV,200,2020-08-15
"Vo, Alice",S95575154X,Metformin_500mg,ITMN_7167LS,200,2020-08-16
"Krishnan, Kelly",S44093436P,Metformin_500mg,ITMN_7167LS,50,2020-08-16
"Upadhyay, Annemarie",S58171729L,Amlodipine_5mg,ITMN_9928QN,100,2020-08-16
"Vea, Jason",S19083495Q,Amlodipine_5mg,ITMN_9928QN,30,2020-08-16
"Nguyen, Justin",S31960355O,Paracetamol_500mg,ITMN_0539LV,50,2020-08-16
"Chung, Antionette",S55008585I,Atenolol_50mg,ITMN_9249ZD,200,2020-08-16
"Jun, Laura",S25666299S,Metformin_850mg,ITMN_4591ZY,30,2020-08-16
"Prout, Davis",S25666299S,Metformin_500mg,ITMN_7167LS,30,2020-08-16
"Le, Filipe",S31862478C,Atenolol_50mg,ITMN_9249ZD,50,2020-08-16
"Kim, Calvin",S06737884C,Metformin_850mg,ITMN_4591ZY,200,2020-08-17
"Zarcula, Michael",S44360483V,Metformin_850mg,ITMN_4591ZY,200,2020-08-17
"Inai, Matthew",S80665821E,Paracetamol_500mg,ITMN_0539LV,100,2020-08-17
"Quilon, Brendon",S01081087N,Metformin_500mg,ITMN_7167LS,50,2020-08-17
"Kaneko, Christine",S21878024I,Metformin_850mg,ITMN_4591ZY,100,2020-08-17
"Gonzales, Rohan",S81309896D,Doxycycline_100mg,ITMN_7836AV,200,2020-08-17
"Rojas, Joseph",S91519727J,Paracetamol_500mg,ITMN_0539LV,30,2020-08-17
"Scheie, Emily",S81998589O,Paracetamol_500mg,ITMN_0539LV,50,2020-08-17
"Ayyanar, Erik",S31829619E,Metformin_500mg,ITMN_7167LS,30,2020-08-17
"Niko, Christine",S96042695D,Paracetamol_500mg,ITMN_0539LV,50,2020-08-18
"Lor, Beau",S99317428D,Metformin_500mg,ITMN_7167LS,30,2020-08-18
"Banerjee, Gautham",S11716686W,Metformin_850mg,ITMN_4591ZY,200,2020-08-18
"Song, Arriane Julia",S92464019Y,Atenolol_50mg,ITMN_9249ZD,30,2020-08-18
"Yee, Hoangcung",S71538775M,Metformin_850mg,ITMN_4591ZY,50,2020-08-18
"Goodell, Kayla",S82385662P,Metformin_850mg,ITMN_4591ZY,30,2020-08-18
"Ling, Alexander",S87877917Y,Paracetamol_500mg,ITMN_0539LV,30,2020-08-18
"Lee, Apiluck",S20239946X,Metformin_500mg,ITMN_7167LS,100,2020-08-18
"Bergen, Brandon",S87681321O,Paracetamol_500mg,ITMN_0539LV,40,2020-08-19
"Luftig, Joseph",S60816793N,Atenolol_50mg,ITMN_9249ZD,50,2020-08-19
"Zeng, Emily",S31862478C,Paracetamol_500mg,ITMN_0539LV,30,2020-08-19
"Ahsan, William",S60816793N,Paracetamol_500mg,ITMN_0539LV,30,2020-08-19
"Jeon, Isaiah",S90479791I,Metformin_500mg,ITMN_7167LS,50,2020-08-19
