names,NRIC,medications,item_code,time,quantity,Date
"Xiong, Joshua",S61272414B,Amlodipine_5mg,ITMN_4494JW, 14:00:00,200,9/27/20
"Xiong, Joshua",S61272414B,Metformin_500mg,ITMN_6764XV, 14:00:00,600,9/27/20
"Xiong, Joshua",S61272414B,Atenolol_50mg,ITMN_9395IN, 14:00:00,200,9/27/20
"Xiong, Joshua",S61272414B,Hydrochlorothiazide_25mg,ITMN_9512HZ, 14:00:00,200,9/27/20
"Xiong, Joshua",S61272414B,Enalapril_5mg,ITMN_5938XO, 14:00:00,200,9/27/20
"Lacsina, Jake",S34211013U,Amlodipine_5mg,ITMN_4494JW, 13:00:00,200,10/2/20
"Lacsina, Jake",S34211013U,Metformin_500mg,ITMN_6764XV, 13:00:00,600,10/2/20
"Lacsina, Jake",S34211013U,Atenolol_50mg,ITMN_9395IN, 13:00:00,200,10/2/20
"Batara, William",S69269144M,Amlodipine_5mg,ITMN_4494JW, 16:15:00,200,10/3/20
"Unga, Joo",S17717478D,Amlodipine_5mg,ITMN_4494JW, 16:45:00,30,10/3/20
"Zhang, Aliza",S39632861N,Amlodipine_5mg,ITMN_4494JW, 09:30:00,40,10/4/20
"Axalan, Leanna",S09539371C,Amlodipine_5mg,ITMN_4494JW, 15:15:00,200,10/4/20
"Kharuhadej, Tassawwar",S05567911O,Amlodipine_5mg,ITMN_4494JW, 14:15:00,40,10/4/20
"Kharuhadej, Tassawwar",S05567911O,Metformin_500mg,ITMN_6764XV, 14:15:00,40,10/4/20
"Kharuhadej, Tassawwar",S23725836J,Atenolol_50mg,ITMN_9395IN, 14:15:00,40,10/4/20
"Ho, Alex",S22628263R,Amlodipine_5mg,ITMN_4494JW, 15:30:00,100,10/5/20
"Ho, Alex",S22628263R,Metformin_500mg,ITMN_6764XV, 15:30:00,300,10/5/20
"Ho, Alex",S22628263R,Atenolol_50mg,ITMN_9395IN, 15:30:00,100,10/5/20
"Ho, Alex",S22628263R,Hydrochlorothiazide_25mg,ITMN_9512HZ, 15:30:00,100,10/5/20
"Ho, Alex",S22628263R,Enalapril_5mg,ITMN_5938XO, 15:30:00,100,10/5/20
"Shoemaker, Kevin",S56704307D,Amlodipine_5mg,ITMN_4494JW, 10:30:00,200,10/8/20
"Bui, Jasmine",S56649917K,Amlodipine_5mg,ITMN_4494JW, 16:45:00,30,10/9/20
"Do, Dawa",S67084578M,Amlodipine_5mg,ITMN_4494JW, 09:00:00,50,10/10/20
"Lam, Aparna",S36036979T,Amlodipine_5mg,ITMN_4494JW, 12:30:00,100,10/10/20
"Kida, Carly",S73813216R,Amlodipine_5mg,ITMN_4494JW, 11:30:00,200,10/10/20
"Basu, Ethan",S34106615L,Amlodipine_5mg,ITMN_4494JW, 11:15:00,100,10/11/20
"Mcclure, Adam",S83971441B,Amlodipine_5mg,ITMN_4494JW, 10:15:00,50,10/11/20
"Tipoti, Tai",S95485603D,Amlodipine_5mg,ITMN_4494JW, 14:00:00,40,10/11/20
"Eydi Shahroodi, Tin",S37151076M,Amlodipine_5mg,ITMN_4494JW, 09:15:00,100,10/12/20
"Stahuljak, Alexander",S73609526X,Amlodipine_5mg,ITMN_4494JW, 13:15:00,30,10/12/20
"Zarate, Morgan",S83248221L,Amlodipine_5mg,ITMN_4494JW, 15:15:00,200,10/12/20
"Zarate, Morgan",S83248221L,Metformin_500mg,ITMN_6764XV, 15:15:00,200,10/12/20
"Zarate, Morgan",S83248221L,Atenolol_50mg,ITMN_9395IN, 15:15:00,200,10/12/20
"Zarate, Morgan",S83248221L,Hydrochlorothiazide_25mg,ITMN_9512HZ, 15:15:00,200,10/12/20
"Zarate, Morgan",S83248221L,Enalapril_5mg,ITMN_5938XO, 15:15:00,200,10/12/20
"Kim, Yeng",S59636323U,Amlodipine_5mg,ITMN_4494JW, 15:15:00,40,10/15/20
